matching,train,test,width_px,height_px,filepath,width_px_norm,height_px_norm,m_top,m_side,m_total,round_top,dm_top,dm_side,dm_total,dround_top,d_cons,d_rigid,d_life,d_stab,d_cons_norm,d_rigid_norm,d_life_norm,d_stab_norm
toy_00005,True,False,61,55,data/toy_epure/train/full/toy_00005_full.png,0.953125,0.859375,159.0,74.0,290.7,0.3281733746130031,0.0939112487100104,-0.2363261093911249,-0.031,-0.3436532507739938,-0.0214200914906533,0.2028683112194108,0.0190918472652218,-0.0983606557377049,-0.5715187089552821,-0.1929770437080528,-0.3538717224242789,-1.3124254099573025
toy_00027,True,False,55,51,data/toy_epure/train/full/toy_00027_full.png,0.859375,0.796875,158.5,128.0,338.1,0.2812777284826974,-0.0624075717243418,0.1357586512866015,0.1269999999999999,-0.4374445430346051,-0.1805899215814249,-0.004005207145479,-0.0084294587400177,-0.0727272727272727,-0.741741999469024,-0.5599795506112186,-0.3755814905109362,-1.225624504175016
toy_00030,False,True,51,48,data/toy_epure/test/full/toy_00030_full.png,0.796875,0.75,138.0,62.0,245.1,0.3378212974296206,0.1260709914320686,-0.2411260709914321,-0.183,-0.3243574051407588,-0.2887091186059852,0.0472011074059142,0.0104039167686658,-0.0588235294117647,-0.8573694740647342,-0.4691373492595406,-0.3607250656557854,-1.1785430279196445
toy_00060,False,True,64,54,data/toy_epure/test/full/toy_00060_full.png,1.0,0.84375,151.5,84.0,296.4,0.3066801619433198,0.0222672064777327,-0.1497975708502025,-0.012,-0.3866396761133603,-0.3024326843109801,-0.0791302275070169,0.0232793522267206,-0.15625,-0.8720460651659093,-0.693254563390791,-0.3505684721512518,-1.5084528915840871
toy_00063,True,False,59,47,data/toy_epure/train/full/toy_00063_full.png,0.921875,0.734375,144.0,62.0,254.7,0.3392226148409894,0.1307420494699648,-0.2697290930506478,-0.151,-0.3215547703180211,-0.0484816219410305,-0.1359761844803204,0.0147232037691401,-0.2033898305084746,-0.6004595123536021,-0.794101732624476,-0.3573178611044404,-1.6680798898969431
toy_00071,False,True,64,56,data/toy_epure/test/full/toy_00071_full.png,1.0,0.875,205.0,118.5,384.3,0.3200624512099922,0.0668748373666407,-0.0749414519906323,0.281,-0.3598750975800155,-0.0276909454883924,0.1211781650275753,-0.0050741608118657,-0.125,-0.5782250389250865,-0.337898871686099,-0.372934714232661,-1.402632746635115
toy_00111,True,False,64,51,data/toy_epure/train/full/toy_00111_full.png,1.0,0.796875,162.5,77.0,291.6,0.3343621399176955,0.1145404663923183,-0.2078189300411523,-0.0280000000000001,-0.331275720164609,0.2035379820951721,-0.2880096854634991,0.0072016460905349,-0.203125,-0.3309385469259965,-1.0638156932855771,-0.3632511286907188,-1.6671831090075453
toy_00117,True,False,53,52,data/toy_epure/train/full/toy_00117_full.png,0.828125,0.8125,204.0,125.0,358.2,0.3417085427135678,0.1390284757118927,0.0469011725293132,0.1939999999999999,-0.3165829145728643,0.1961250692653269,0.0682656507783889,-0.0510887772194305,-0.0188679245283018,-0.3388662453690254,-0.4317679445838153,-0.4092326519328031,-1.0432435751103035
toy_00126,False,True,49,48,data/toy_epure/test/full/toy_00126_full.png,0.765625,0.75,119.0,89.0,220.8,0.3233695652173913,0.0778985507246377,0.2092391304347825,-0.264,-0.3532608695652174,-0.04450751396587,-0.0570735839825072,-0.0652173913043478,-0.0204081632653061,-0.5962094246579444,-0.6541251304341444,-0.4203777965386238,-1.04845920027529
toy_00132,True,False,55,56,data/toy_epure/train/full/toy_00132_full.png,0.859375,0.875,178.5,110.0,320.4,0.3342696629213483,0.1142322097378277,0.0299625468164793,0.0679999999999999,-0.3314606741573034,0.388950178316677,0.0345975101947252,-0.0402621722846441,0.018181818181818,-0.132650503744665,-0.4914966720431627,-0.4006922475546343,-0.9177840825052797
toy_00134,True,False,59,50,data/toy_epure/train/full/toy_00134_full.png,0.921875,0.78125,179.5,111.0,342.3,0.3146362839614373,0.0487876132047911,-0.0271691498685364,0.141,-0.3707274320771253,0.0179801358949612,0.1731213649323017,-0.00920245398773,-0.1525423728813559,-0.5293823546678887,-0.2457494040680035,-0.3761912561796413,-1.495897959132514
toy_00135,False,True,51,56,data/toy_epure/test/full/toy_00135_full.png,0.796875,0.875,139.0,95.0,251.4,0.3317422434367542,0.1058074781225139,0.133651551312649,-0.1620000000000001,-0.3365155131264916,-0.1982115838206921,0.052891166573975,-0.058472553699284,0.0980392156862746,-0.7605873882526847,-0.4590429399044374,-0.4150572328938526,-0.6473673983718627
toy_00136,True,False,59,54,data/toy_epure/train/full/toy_00136_full.png,0.921875,0.84375,150.0,104.0,302.7,0.2973240832507433,-0.0089197224975221,0.0307234886025767,0.0089999999999999,-0.4053518334985133,0.3370360125990621,0.3855838386244301,-0.0034687809712586,-0.0847457627118644,-0.1881698198593364,0.131168149634185,-0.3716683345040267,-1.2663220514466085
toy_00158,True,False,64,55,data/toy_epure/train/full/toy_00158_full.png,1.0,0.859375,162.5,73.0,297.6,0.3276209677419355,0.0920698924731183,-0.2641129032258064,-0.0080000000000001,-0.344758064516129,-0.0250781314679634,0.1716962955140931,0.0252016129032257,-0.140625,-0.5754307794865721,-0.2482775384233689,-0.3490521257438146,-1.455542819109601
toy_00163,True,False,63,57,data/toy_epure/train/full/toy_00163_full.png,0.984375,0.890625,201.5,92.0,365.1,0.3311421528348398,0.1038071761161326,-0.2440427280197206,0.2169999999999999,-0.3377156943303204,0.0521235135801593,0.1731869727463808,0.0176663927691043,-0.0952380952380952,-0.4928679090878852,-0.245633012987938,-0.3549961707525269,-1.3018516562075222
toy_00187,True,False,53,53,data/toy_epure/train/full/toy_00187_full.png,0.828125,0.828125,229.0,107.0,361.2,0.3803986710963455,0.2679955703211517,-0.1112956810631229,0.2039999999999999,-0.2392026578073089,-0.025732578705326,0.1789382537137429,-0.0581395348837209,0.0,-0.5761306744487515,-0.2354299935313666,-0.4147945360126439,-0.9793521668392264
toy_00210,True,False,64,50,data/toy_epure/train/full/toy_00210_full.png,1.0,0.78125,183.0,118.0,357.6,0.3070469798657718,0.0234899328859059,-0.0100671140939598,0.1919999999999999,-0.3859060402684564,0.3419060324228182,-0.0204877460846345,-0.0050335570469798,-0.21875,-0.1829616042144861,-0.5892202826227924,-0.3729026845637583,-1.720093181482031
toy_00220,True,False,63,54,data/toy_epure/train/full/toy_00220_full.png,0.984375,0.84375,146.0,102.0,264.6,0.3310657596371882,0.1035525321239607,0.1564625850340135,-0.1180000000000001,-0.3378684807256236,0.0524764562045868,0.098298430850717,-0.0623582766439909,-0.1428571428571429,-0.4924904565589836,-0.3784885028121781,-0.4181224269643131,-1.4631014008916703
toy_00245,True,False,61,57,data/toy_epure/train/full/toy_00245_full.png,0.953125,0.890625,233.0,107.0,385.2,0.3629283489096573,0.209761163032191,-0.1666666666666667,0.284,-0.2741433021806854,-0.1433523607784493,0.1655484222672107,-0.0295950155763239,-0.0655737704918032,-0.7019184969436194,-0.2591841296176514,-0.3922776215104496,-1.2014009955846103
toy_00320,False,True,55,55,data/toy_epure/test/full/toy_00320_full.png,0.859375,0.859375,148.0,74.0,243.6,0.3645320197044335,0.2151067323481117,-0.0886699507389163,-0.188,-0.270935960591133,0.2445785758474803,0.2230591602615173,-0.0467980295566502,0.0,-0.2870479119408892,-0.1571576103000207,-0.4058479602085226,-0.9793521668392264
toy_00323,True,False,59,52,data/toy_epure/train/full/toy_00323_full.png,0.921875,0.8125,197.5,99.0,315.6,0.3754752851711027,0.2515842839036756,-0.0589353612167301,0.0519999999999998,-0.2490494296577946,0.0477879169885705,0.0188892461916799,-0.0636882129277566,-0.1186440677966101,-0.4975045887761121,-0.5193638070625708,-0.4191715271881575,-1.381110005289561
toy_00365,True,False,63,52,data/toy_epure/train/full/toy_00365_full.png,0.984375,0.8125,163.0,94.0,264.6,0.3696145124716553,0.2320483749055178,0.0657596371882085,-0.1180000000000001,-0.2607709750566893,-0.1576623489920252,-0.1058366537439975,-0.082766439909297,-0.1746031746031746,-0.7172222343386937,-0.7406329105899163,-0.4342210994430133,-1.5706012306811024
toy_00378,True,False,49,55,data/toy_epure/train/full/toy_00378_full.png,0.765625,0.859375,148.0,70.0,234.6,0.3785166240409207,0.2617220801364025,-0.1048593350383632,-0.218,-0.2429667519181585,-0.1663992037152277,0.3402374546622426,-0.057544757033248,0.1224489795918366,-0.7265658150843408,0.0507217168347859,-0.4143253544558388,-0.5647099662228465
toy_00379,True,False,51,52,data/toy_epure/train/full/toy_00379_full.png,0.796875,0.8125,158.5,124.0,300.6,0.3163672654690618,0.0545575515635395,0.2375249500998003,0.0019999999999998,-0.3672654690618763,-0.2575153296865684,0.0500099100267777,-0.0638722554890219,0.0196078431372548,-0.8240094498036913,-0.4641544127706138,-0.4193167063930391,-0.912955213145754
toy_00381,True,False,51,54,data/toy_epure/train/full/toy_00381_full.png,0.796875,0.84375,151.0,78.0,241.8,0.3746898263027295,0.248966087675765,-0.0322580645161291,-0.194,-0.250620347394541,-0.1956462113249682,0.2600804920631545,-0.0682382133995037,0.0588235294117647,-0.7578438648892022,-0.0914801775987036,-0.4227607265894142,-0.7801613057588085
toy_00392,True,False,64,51,data/toy_epure/train/full/toy_00392_full.png,1.0,0.796875,244.5,77.0,366.9,0.3998364677023712,0.3327882256745709,-0.3704006541291905,0.2229999999999999,-0.2003270645952575,0.3192148140365399,-0.0873264255603139,-0.0257563368765331,-0.203125,-0.2072286016553671,-0.7077949707682554,-0.3892495375846437,-1.6671831090075453
toy_00414,False,True,61,52,data/toy_epure/test/full/toy_00414_full.png,0.953125,0.8125,223.0,111.0,369.0,0.3626016260162601,0.2086720867208673,-0.0975609756097561,0.23,-0.2747967479674796,-0.2441148684351546,0.2790139671947084,-0.0430894308943089,-0.1475409836065574,-0.8096784009653737,-0.0578913795128469,-0.4029224879627436,-1.4789620315163408
toy_00439,True,False,59,52,data/toy_epure/train/full/toy_00439_full.png,0.921875,0.8125,197.5,73.0,298.8,0.3965863453815261,0.321954484605087,-0.2670682730923696,-0.0039999999999999,-0.2068273092369478,-0.1646363738786859,-0.0209566623651471,-0.0431726907630521,-0.1186440677966101,-0.7246805665091502,-0.5900521602446167,-0.4029881662572618,-1.381110005289561
toy_00455,True,False,61,52,data/toy_epure/train/full/toy_00455_full.png,0.953125,0.8125,150.0,90.0,253.2,0.3554502369668246,0.1848341232227489,0.0663507109004739,-0.156,-0.2890995260663507,0.0822000146479531,0.0254297684135209,-0.0687203791469194,-0.1475409836065574,-0.4607027621126058,-0.5077606397222365,-0.4231410757833709,-1.4789620315163408
toy_00461,True,False,55,52,data/toy_epure/train/full/toy_00461_full.png,0.859375,0.8125,133.0,79.0,234.0,0.341025641025641,0.1367521367521368,0.0128205128205127,-0.22,-0.3179487179487179,0.0783137269710119,0.2126950744983205,-0.0435897435897436,-0.0545454545454545,-0.4648589308782235,-0.1755439435867376,-0.4033171521035599,-1.1640564198410686
toy_00488,True,False,61,50,data/toy_epure/train/full/toy_00488_full.png,0.953125,0.78125,150.0,69.0,237.6,0.3787878787878788,0.2626262626262626,-0.1287878787878787,-0.208,-0.2424242424242424,0.2495841457405055,0.1497237540145652,-0.053030303030303,-0.180327868852459,-0.281694733027515,-0.2872577707754726,-0.4107641953515739,-1.5899864458890325
toy_00496,True,False,63,54,data/toy_epure/train/full/toy_00496_full.png,0.984375,0.84375,196.5,119.0,334.2,0.3527827648114901,0.1759425493716337,0.0682226211849192,0.1139999999999999,-0.2944344703770197,0.1307632583267633,-0.1500237800587412,-0.0664272890484739,-0.1428571428571429,-0.4087670709561004,-0.8190227705320386,-0.4213322061668787,-1.4631014008916703
toy_00499,False,True,61,52,data/toy_epure/test/full/toy_00499_full.png,0.953125,0.8125,233.0,116.0,378.0,0.3698412698412698,0.2328042328042329,-0.0793650793650793,0.26,-0.2603174603174603,-0.0831605408053938,-0.1819696549178624,-0.0539682539682539,-0.1475409836065574,-0.6375466894724351,-0.8756961246238503,-0.4115040838341808,-1.4789620315163408
toy_00523,True,False,61,54,data/toy_epure/train/full/toy_00523_full.png,0.953125,0.84375,170.0,88.0,265.2,0.3846153846153846,0.2820512820512821,-0.0045248868778281,-0.116,-0.2307692307692307,0.0268804428363227,-0.0941389893571025,-0.0837104072398189,-0.1147540983606557,-0.5198639708555994,-0.7198807515468719,-0.4349657338663619,-1.3679376171436486
toy_00525,True,False,63,51,data/toy_epure/train/full/toy_00525_full.png,0.984375,0.796875,187.5,115.0,357.3,0.3148614609571788,0.0495382031905961,-0.0344248530646516,0.191,-0.3702770780856423,-0.0706991263986667,0.1186019209708106,-0.0079764903442485,-0.1904761904761904,-0.6242198990652409,-0.3424692392938048,-0.3752241732084485,-1.6243511455758182
toy_00542,True,False,63,54,data/toy_epure/train/full/toy_00542_full.png,0.984375,0.84375,163.0,71.0,254.4,0.3844339622641509,0.2814465408805032,-0.1627358490566038,-0.152,-0.2311320754716981,0.0721274586713842,-0.3337475774206758,-0.0518867924528301,-0.1428571428571429,-0.471474801143103,-1.1449566780835565,-0.4098621542407034,-1.4631014008916703
toy_00606,True,False,51,51,data/toy_epure/train/full/toy_00606_full.png,0.796875,0.796875,144.0,90.0,271.5,0.318232044198895,0.0607734806629833,-0.0055248618784531,-0.095,-0.36353591160221,-0.2074913398955007,-0.0397297248024247,-0.0171270718232044,0.0,-0.7705115718326884,-0.6233563793210196,-0.3824424717051976,-0.9793521668392264
toy_00651,True,False,64,54,data/toy_epure/train/full/toy_00651_full.png,1.0,0.84375,256.5,99.0,389.1,0.3955281418658442,0.3184271395528141,-0.2367000771010023,0.2969999999999999,-0.2089437162683115,-0.0462303275542086,-0.2151360498628586,-0.0481881264456438,-0.15625,-0.5980518780788064,-0.9345347337699688,-0.4069445172204714,-1.5084528915840871
toy_00687,False,True,51,52,data/toy_epure/test/full/toy_00687_full.png,0.796875,0.8125,138.0,101.0,278.1,0.2977346278317152,-0.0075512405609492,0.0895361380798273,-0.0730000000000001,-0.4045307443365695,-0.1305353590589505,0.2143350481919504,-0.0156418554476807,0.0196078431372548,-0.6882114256602665,-0.1726345598165259,-0.3812708811177092,-0.912955213145754
